method,groups,hit1,hit2,hit4,quality4,regret4,brier,module_median_ms,module_p95_ms,scoring_median_ms
field_17,12,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.6875,0.08333333333333333,0.25451960379026145,335.83373751025647,405.66817176295444,94.3068009801209
graph_17,12,0.6666666666666666,0.75,0.9166666666666666,0.7083333333333334,0.08333333333333333,0.209684129309991,316.2916540168226,317.6229359698482,74.583156616427
graph_17_edges_none,12,0.6666666666666666,0.75,1.0,0.7291666666666666,0.0,0.209689145863479,,,
graph_17_edges_shuffle,12,0.6666666666666666,0.75,1.0,0.75,0.0,0.2096773905934338,,,
graph_29,12,0.75,0.8333333333333334,0.9166666666666666,0.75,0.08333333333333333,0.25970551424623856,,,
graph_43,12,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.5208333333333334,0.08333333333333333,0.2543290651970115,,,
mlp_17,12,1.0,1.0,1.0,1.0,0.0,0.04642224603588888,364.5764470566064,374.9007504549809,122.32682225294411
port_mlp_17,12,1.0,1.0,1.0,0.9791666666666666,0.0,0.20886007114480465,335.24649450555444,337.89137735730037,93.58549711760134
port_mlp_29,12,1.0,1.0,1.0,0.9583333333333334,0.0,0.24638257727402949,334.9427970824763,336.330698011443,93.5005220817402
port_mlp_43,12,1.0,1.0,1.0,0.9583333333333334,0.0,0.18063041299870555,,,
sequence_17,12,0.9166666666666666,0.9166666666666666,1.0,0.8541666666666666,0.0,0.21110177344899164,316.2344483425841,353.89886598568404,74.57477867137641
sequence_29,12,0.3333333333333333,0.5833333333333334,0.9166666666666666,0.4791666666666667,0.08333333333333333,0.2548369233760792,,,
sequence_43,12,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.5208333333333334,0.08333333333333333,0.2543290575122275,,,
geometry,12,0.6666666666666666,0.9166666666666666,1.0,0.6875,0.0,,363.33192652091384,372.41441282676533,119.95496531017125
random,12,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.08333333333333333,0.34411806213663104,,,
