model,k,stratum,value,decision_groups,configurations,hit,feasible,regret,brier
mlp_17,1,all,all,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06868983344692323
mlp_17,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,1,length,19,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,1,length,22,2,2,1.0,1.0,0.0,0.04225955600850284
mlp_17,1,length,58,2,2,1.0,1.0,0.0,0.22158802300691605
mlp_17,1,length,76,6,6,1.0,1.0,0.0,0.06440055812709033
mlp_17,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,1,informative,True,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,2,all,all,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06868983344692323
mlp_17,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,2,length,19,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,2,length,22,2,2,1.0,1.0,0.0,0.04225955600850284
mlp_17,2,length,58,2,2,1.0,1.0,0.0,0.22158802300691605
mlp_17,2,length,76,6,6,1.0,1.0,0.0,0.06440055812709033
mlp_17,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,2,informative,True,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,4,all,all,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06868983344692323
mlp_17,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,4,length,19,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,4,length,22,2,2,1.0,1.0,0.0,0.04225955600850284
mlp_17,4,length,58,2,2,1.0,1.0,0.0,0.22158802300691605
mlp_17,4,length,76,6,6,1.0,1.0,0.0,0.06440055812709033
mlp_17,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,4,informative,True,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,8,all,all,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06868983344692323
mlp_17,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,8,length,19,6,6,1.0,1.0,0.0,0.022366147682381172
mlp_17,8,length,22,2,2,1.0,1.0,0.0,0.04225955600850284
mlp_17,8,length,58,2,2,1.0,1.0,0.0,0.22158802300691605
mlp_17,8,length,76,6,6,1.0,1.0,0.0,0.06440055812709033
mlp_17,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.0455279905646522
mlp_17,8,informative,True,16,12,1.0,1.0,0.0,0.0455279905646522
residual_17,1,all,all,16,12,1.0,1.0,0.0,0.0456995432679024
residual_17,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.05860389293067985
residual_17,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03279519360512495
residual_17,1,length,19,6,6,1.0,1.0,0.0,0.03279519360512495
residual_17,1,length,22,2,2,1.0,1.0,0.0,0.0697336308658123
residual_17,1,length,58,2,2,1.0,1.0,0.0,0.14537426829338074
residual_17,1,length,76,6,6,1.0,1.0,0.0,0.05981575325131416
residual_17,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.0456995432679024
residual_17,1,informative,True,16,12,1.0,1.0,0.0,0.0456995432679024
residual_17,2,all,all,16,12,1.0,1.0,0.0,0.0456995432679024
residual_17,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.05860389293067985
residual_17,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03279519360512495
residual_17,2,length,19,6,6,1.0,1.0,0.0,0.03279519360512495
residual_17,2,length,22,2,2,1.0,1.0,0.0,0.0697336308658123
residual_17,2,length,58,2,2,1.0,1.0,0.0,0.14537426829338074
residual_17,2,length,76,6,6,1.0,1.0,0.0,0.05981575325131416
