strategy,view,all_scene_success,accepted_success,abstain_rate,target_executions,twin_calls,decision_mean_s,decision_p50_s,decision_p95_s,deployment_mean_s,status
Random-1,none,,,,,,,,,,pending
Value-Top1,none,,,,,,,,,,pending
Value-Top1,task,,,,,,,,,,pending
Value-Top1,top,,,,,,,,,,pending
Value-Top1,both,,,,,,,,,,pending
Random-Top4+Twin,none,,,,,,,,,,pending
Heuristic-Top4+Twin,none,,,,,,,,,,pending
Value-Top4+Twin,none,,,,,,,,,,pending
Value-Top4+Twin,task,,,,,,,,,,pending
Value-Top4+Twin,top,,,,,,,,,,pending
Value-Top4+Twin,both,,,,,,,,,,pending
Full-12+Twin,none,,,,,,,,,,pending
