seed,condition,method,k,success,verification_count,verification_wall_seconds,full_system_wall_seconds,winning_candidate,observation_sha256
1400,nominal,random,12,True,2,167.91278353892267,171.8571458151564,reference,b6dbe5b5ffa2f8128bc736b921754a7fd9638ffec810f5264f622745fc4cd2a8
1400,nominal,fixed_reference,1,True,1,89.85455978405662,91.13306076917797,reference,b6dbe5b5ffa2f8128bc736b921754a7fd9638ffec810f5264f622745fc4cd2a8
1400,light_low,random,12,False,12,966.0883370661177,983.4365718089975,,b6dbe5b5ffa2f8128bc736b921754a7fd9638ffec810f5264f622745fc4cd2a8
1400,light_low,fixed_reference,1,False,1,81.99451112677343,83.26704192301258,,b6dbe5b5ffa2f8128bc736b921754a7fd9638ffec810f5264f622745fc4cd2a8
1400,light_high,random,12,True,6,484.73077667620964,493.7136366269551,transfer_low,b6dbe5b5ffa2f8128bc736b921754a7fd9638ffec810f5264f622745fc4cd2a8
1400,light_high,fixed_reference,1,False,1,76.77340912097134,78.02825543796644,,b6dbe5b5ffa2f8128bc736b921754a7fd9638ffec810f5264f622745fc4cd2a8
1401,nominal,random,12,False,12,652.1405669865198,668.4337294381112,,bc66b7c8c1ac48aafadd7f11a31edd73ba0cab603e3a531103d1730d9aaded8f
1401,nominal,fixed_reference,1,False,1,51.67219750303775,52.89268945995718,,bc66b7c8c1ac48aafadd7f11a31edd73ba0cab603e3a531103d1730d9aaded8f
1401,light_low,random,12,False,12,636.1884697095957,652.8333692799788,,bc66b7c8c1ac48aafadd7f11a31edd73ba0cab603e3a531103d1730d9aaded8f
1401,light_low,fixed_reference,1,False,1,55.30627014301717,56.52832898194902,,bc66b7c8c1ac48aafadd7f11a31edd73ba0cab603e3a531103d1730d9aaded8f
1401,light_high,random,12,False,12,611.5367498039268,627.5947906530928,,bc66b7c8c1ac48aafadd7f11a31edd73ba0cab603e3a531103d1730d9aaded8f
1401,light_high,fixed_reference,1,False,1,50.81468962598592,52.02412008214742,,bc66b7c8c1ac48aafadd7f11a31edd73ba0cab603e3a531103d1730d9aaded8f
1402,nominal,random,12,False,12,440.866096601123,457.81815004698,,29e5c21699bb39e595c33de8d6f9fdd14e19588dbeb5737325f79fdedb0b399f
1402,nominal,fixed_reference,1,False,1,34.37175551406108,35.63434021407738,,29e5c21699bb39e595c33de8d6f9fdd14e19588dbeb5737325f79fdedb0b399f
1402,light_low,random,12,False,12,445.4284423273057,462.76431538094766,,29e5c21699bb39e595c33de8d6f9fdd14e19588dbeb5737325f79fdedb0b399f
1402,light_low,fixed_reference,1,False,1,34.19972827192396,35.446283414028585,,29e5c21699bb39e595c33de8d6f9fdd14e19588dbeb5737325f79fdedb0b399f
1402,light_high,random,12,False,12,448.24759461847134,464.85360490716994,,29e5c21699bb39e595c33de8d6f9fdd14e19588dbeb5737325f79fdedb0b399f
1402,light_high,fixed_reference,1,False,1,34.22405237192288,35.505190331023186,,29e5c21699bb39e595c33de8d6f9fdd14e19588dbeb5737325f79fdedb0b399f
